test,status,message,review_bucket
tests.test_qol::test_optional_tips_hide_but_tutorial_and_danger_notices_remain,FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: ▶  开始标准远征
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_qol::test_shortcuts_can_be_disabled_without_disabling_mouse_or_diagnostics,FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: ▶  开始标准远征
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_qol::test_back_returns_to_parent_but_close_dismisses_stack,FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: 武器工坊
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_qol::test_paid_reroll_is_not_charged_until_confirmed,FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: ▶  开始标准远征
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_qol::test_stale_paid_reroll_confirmation_cannot_charge,FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: ▶  开始标准远征
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_qol::test_advanced_view_retains_live_diagnostics_after_settings_change,FAILED,"AssertionError: SettingsTab_display
assert (None is not None)",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_qol::test_main_cta_and_navigation_do_not_overlap[1440-810],FAILED,AttributeError: 'NoneType' object has no attribute 'Position',待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_qol::test_main_cta_and_navigation_do_not_overlap[844-390],FAILED,AttributeError: 'NoneType' object has no attribute 'Position',待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_qol::test_main_cta_and_navigation_do_not_overlap[667-375],FAILED,AttributeError: 'NoneType' object has no attribute 'Position',待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_ui::test_boot_modes_purchase_and_local_mode[False-False],FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: ▶  开始标准远征
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_ui::test_boot_modes_purchase_and_local_mode[False-True],FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: ▶  开始标准远征
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_ui::test_boot_modes_purchase_and_local_mode[True-False],FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: ▶  开始标准远征
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_ui::test_boot_modes_purchase_and_local_mode[True-True],FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: ▶  开始标准远征
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_ui::test_tech_target_research_and_early_function_unlock[False],FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: 研究中心
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_ui::test_tech_target_research_and_early_function_unlock[True],FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: 研究中心
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_ui::test_desktop_has_48_nodes_and_preserves_scroll,FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: 研究中心
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_ui::test_mobile_tech_is_full_pan_zoom_graph,FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: 研究中心
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_ui::test_mobile_paged_investment_navigation,FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: ▶  开始标准远征
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_ui::test_codex_search[weapons-\u6b66\u5668-\u78c1\u8f68\u67aa],FAILED,"AssertionError: Codex_weapons
assert (None is not None)",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_ui::test_codex_search[supplies-\u8865\u7ed9-\u8d85\u8f7d\u6838\u5fc3],FAILED,"AssertionError: Codex_supplies
assert (None is not None)",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_ui::test_codex_search[enemies-\u602a\u7269-\u77ff\u5de2\u5b88\u536b],FAILED,"AssertionError: Codex_enemies
assert (None is not None)",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_ui::test_pause_settings_persist_and_resume[False],FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: 3 波教学 · 推荐
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_ui::test_pause_settings_persist_and_resume[True],FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: 3 波教学 · 推荐
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_ui::test_supply_invest_drawer_and_robot_progress,FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: 3 波教学 · 推荐
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_ui::test_abandon_confirmation_zero_rewards,FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: ▶  开始标准远征
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_ui::test_tutorial_result_direct_research_workshop_next_run[False],FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: 3 波教学 · 推荐
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_ui::test_tutorial_result_direct_research_workshop_next_run[True],FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: 3 波教学 · 推荐
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_ui::test_cloud_read_failure_is_blocked_until_explicit_guest,FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: 确认进入不保存的试玩
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_ui::test_cloud_saved_settings_loadout_target_and_presets,FAILED,"AssertionError: assert (True and 'machine' == 'arc'
 +  where True = <Lua table at 0x564a84204740>.persistent
  
  - arc
  + machine)",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_ui::test_settings_diagnostics_and_audio_are_real_calls,FAILED,"AssertionError: SettingsTab_audio
assert (None is not None)",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_ui::test_api_contract_all_panels_and_battle[False],FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: 研究中心
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_ui::test_api_contract_all_panels_and_battle[True],FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: 研究中心
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_ui::test_unpublished_cloud_optin_stays_local,FAILED,"lupa.lua55.LuaError: [string ""<python>""]:259: GUI not found: 3 波教学 · 推荐
stack traceback:
	[string ""<python>""]:259: in function <[string ""<python>""]:258>
	[C]: in global 'assert'",旧 UI 入口失配：需在当前入口重建同等行为验证
tests.test_ui::test_dynamic_safe_areas_and_fullscreen_shade,FAILED,AttributeError: 'NoneType' object has no attribute 'ScreenInsets',待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_v05::test_tutorial_three_breaks_first_reward_only_once,FAILED,"assert (<Lua table at 0x564a8237bdc0> and True and True and 1 == 3)
 +  where <Lua table at 0x564a8237bdc0> = <Lua table at 0x564a83bc4040>.result
 +  and   True = <Lua table at 0x564a8237bdc0>.won
 +    where <Lua table at 0x564a8237bdc0> = <Lua table at 0x564a83bc4040>.result
 +  and   True = <Lua table at 0x564a8237bdc0>.firstClear
 +    where <Lua table at 0x564a8237bdc0> = <Lua table at 0x564a83bc4040>.result",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_v05::test_explicit_request_ids_deduplicate_purchases,FAILED,"assert 120 == 20
 +  where 120 = <Lua table at 0x564a8053aff0>.ore",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_v05::test_settings_sanitize_and_presets_unlock_validation,FAILED,"AssertionError: assert (False)
 +  where False = <Lua function at 0x564a82669d40>(<Lua table at 0x564a83b76d50>, <Lua table at 0x564a8779edc0>, <Lua table at 0x564a8769cdb0>, 'preset', <Lua table at 0x564a83b771e0>)
 +    where <Lua function at 0x564a82669d40> = <Lua table at 0x564a80b421d0>.act
 +    and   <Lua table at 0x564a83b771e0> = table(<lupa.lua55.LuaRuntime object at 0x7f4c109572e0>, slot=1, mode='equip')",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_v05::test_forecast_no_income_and_upgrade_explanations,FAILED,"assert (False)
 +  where False = <Lua table at 0x564a820245a0>.elite
 +    where <Lua table at 0x564a820245a0> = <Lua function at 0x564a80f1aa60>(5, <Lua table at 0x564a82190740>)
 +      where <Lua function at 0x564a80f1aa60> = <Lua table at 0x564a827e6e20>.intel",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_v05::test_wave_report_tracks_effective_damage,FAILED,AttributeError: 'NoneType' object has no attribute 'kills',待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_v05::test_tutorial_fixed_grant_and_unproductive_investment_blocked,FAILED,"AssertionError: assert ('mining' == 'mining'
  
    mining and 0 == 30)
 +  where 0 = <Lua table at 0x564a815d2100>.breakLeft",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_v05::test_old_arc_owner_tutorial_targets_new_research,FAILED,"AssertionError: assert ('mining' == 'mining'
  
    mining and 0 == 30)
 +  where 0 = <Lua table at 0x564a8267c290>.breakLeft",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_v05::test_zero_viewport_waits_without_claiming_ui_ready,FAILED,"AssertionError: assert 'WAITING_FOR_2D_STATE' == 'WAITING_FOR_VIEWPORT'
  
  - WAITING_FOR_VIEWPORT
  + WAITING_FOR_2D_STATE",待复核：规则/接口迁移或真实回归，不能直接忽略
tests.test_v05::test_pending_modal_blocks_double_click_and_timeout_recovers,FAILED,"AssertionError: SettingsTab_audio
assert (None is not None)",旧 UI 入口失配：需在当前入口重建同等行为验证
